month,day,perc05,perc10,perc25,median,perc75,perc90,perc95,station_name
1,1,135.4,196.4,260,308,351,402.8,415.3999999999999,Comal
1,2,139,195.2,260,308,347,402.20000000000005,418.4,Comal
1,3,139.8,194.60000000000002,262,308,347,401.20000000000005,414.2,Comal
1,4,141.4,194.20000000000002,262,308,347,400.6,414.4,Comal
1,5,140.60000000000002,194.4,260,310,351,399.6,412.4,Comal
1,6,140.60000000000002,195.2,262,310,349,398.40000000000003,415.4,Comal
1,7,139.8,195.2,266,309,350,396.00000000000006,415.79999999999995,Comal
1,8,140.60000000000002,197.60000000000002,262,310,350,397.20000000000005,415.59999999999997,Comal
1,9,138.20000000000002,196.2,266,310,348,399.20000000000005,414.79999999999995,Comal
1,10,138.20000000000002,196.6,266,310,349,399.6,417.2,Comal
1,11,137.79999999999998,196.2,266,309,349,402.8,413.19999999999993,Comal
1,12,138.6,199.4,265,309,347,404.4,416.2,Comal
1,13,138.4,201.20000000000002,265,308,350,405.8,417.2,Comal
1,14,139,202.40000000000003,264,308,350,402,413.79999999999995,Comal
1,15,139,203.20000000000002,264,308,349,402,414.59999999999997,Comal
1,16,139.2,202.00000000000003,264,309,347,402,417.2,Comal
1,17,140,202.00000000000003,264,309,347,398.80000000000007,418.5999999999999,Comal
1,18,140.4,202.40000000000003,266,311,347,400.8,417.3999999999999,Comal
1,19,140.4,202.8,266,308,349,401.20000000000005,419.19999999999993,Comal
1,20,141.20000000000002,203.20000000000002,266,309,350,400.20000000000005,419.19999999999993,Comal
1,21,142.4,202.8,266,308,350,399.6,422,Comal
1,22,152,202.8,266,308,350,398.20000000000005,419.19999999999993,Comal
1,23,159.60000000000002,204,266,308,347,397.4,419.19999999999993,Comal
1,24,166.20000000000002,204,266,311,351,398,417.19999999999993,Comal
1,25,167.40000000000003,203.20000000000002,266,311,349,398,416.79999999999995,Comal
1,26,168.4,203.60000000000002,265,312,351,397.4,417.2,Comal
1,27,169.6,203.60000000000002,262,311,348,396.8,416.4,Comal
1,28,170.4,208,262,311,348,399,417.2,Comal
1,29,171.20000000000002,206.8,262,308,350,398.4,418.2,Comal
1,30,171.20000000000002,207.2,262,309,348,397.4,418.3999999999999,Comal
1,31,173,205.60000000000002,258,308,350,397.4,416.7999999999999,Comal
2,1,174,204.8,258,308,349,396.4,416.4,Comal
2,2,174.8,204.8,258,308,350,396.4,416.4,Comal
2,3,175,203.20000000000002,256,309,350,399.40000000000003,420.79999999999995,Comal
2,4,175.8,202.40000000000003,258,308,351,401.6,424.4,Comal
2,5,175.60000000000002,200.60000000000002,262,308,351,400.20000000000005,424.99999999999994,Comal
2,6,174.2,201.4,260,308,351,403,424.99999999999994,Comal
2,7,173.60000000000002,202.2,256,308,350,403.6,424.99999999999994,Comal
2,8,171.8,201.4,254,308,351,402,424.99999999999994,Comal
2,9,172.6,202.2,254,307,350,400.40000000000003,425.19999999999993,Comal
2,10,174.2,202.6,253,309,350,400.40000000000003,425.3999999999999,Comal
2,11,174.2,202.2,254,308,349,401.4,425.7999999999999,Comal
2,12,173,203.4,255,308,350,399,425.9999999999999,Comal
2,13,172,204.6,258,308,350,399,425.9999999999999,Comal
2,14,171,206.20000000000002,258,308,350,403.20000000000005,424.99999999999994,Comal
2,15,171.40000000000003,205.60000000000002,258,309,350,402.6,426.59999999999997,Comal
2,16,171.8,205.60000000000002,258,311,348,402.20000000000005,424.99999999999994,Comal
2,17,170.60000000000002,203.8,258,308,350,401.6,424.99999999999994,Comal
2,18,170.60000000000002,202.60000000000002,260,308,351,400.4000000000001,429.79999999999995,Comal
2,19,171,205,262,308,350,405.20000000000005,429.59999999999997,Comal
2,20,168.4,207.40000000000003,264,308,351,407.4,429.99999999999994,Comal
2,21,168.75,204.5,262.5,308.5,350.25,404,427,Comal
2,22,170.25,205,261.75,309.5,346.75,400,426.5,Comal
2,23,170.75,205.5,262,309.5,346.25,396,425.25,Comal
2,24,171,207,261.25,308,345.25,396,423.25,Comal
2,25,169.8,207.40000000000003,262,308,345,397.20000000000005,419.19999999999993,Comal
2,26,168.2,209.8,262,308,345,397.20000000000005,419.19999999999993,Comal
2,27,167.40000000000003,208.60000000000002,262,309,345,397.20000000000005,419.19999999999993,Comal
